provinsi_pt,kabupaten_pt,jk,nm_jenj_didik,nm_kel_bidang,nm_bp,a_stem,jumlah,provinsi
Prov. Aceh,Kab. Aceh Barat,L,D2,Teknik,Akademi Komunitas,STEM,21.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,Profesi,Kesehatan,Sekolah Tinggi,STEM,35.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Agama,Sekolah Tinggi,NON STEM,7.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Ekonomi,Sekolah Tinggi,NON STEM,42.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Ekonomi,Universitas,NON STEM,36.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Kesehatan,Sekolah Tinggi,STEM,85.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Kesehatan,Universitas,STEM,11.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Pendidikan,Sekolah Tinggi,NON STEM,42.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Pendidikan,Universitas,NON STEM,44.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Pertanian,Universitas,STEM,67.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Sosial,Sekolah Tinggi,NON STEM,16.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Sosial,Universitas,NON STEM,66.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S1,Teknik,Universitas,STEM,138.0,Aceh
Prov. Aceh,Kab. Aceh Barat,L,S2,Pertanian,Universitas,STEM,5.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,D2,Teknik,Akademi Komunitas,STEM,4.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,D3,Kesehatan,Sekolah Tinggi,STEM,14.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,Profesi,Kesehatan,Sekolah Tinggi,STEM,55.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,S1,Agama,Sekolah Tinggi,NON STEM,5.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,S1,Ekonomi,Sekolah Tinggi,NON STEM,58.0,Aceh
Prov. Aceh,Kab. Aceh Barat,P,S1,Ekonomi,Universitas,NON STEM,102.0,Aceh
