provinsi,jumlah_pt,pt_akreditasi_puncak,persen_akreditasi_puncak,jumlah_lulusan,lulusan_stem,lulusan_perempuan,persen_lulusan_stem,persen_lulusan_perempuan,jumlah_dosen,dosen_senior,dosen_tanpa_jabatan,persen_dosen_senior,persen_tanpa_jabatan,dosen_basis_sertifikasi,dosen_bersertifikasi,persen_dosen_bersertifikasi,skor_kesiapan,rank_lulusan_stem,rank_pt_akreditasi_puncak,rank_dosen_senior,rank_dosen_bersertifikasi,jumlah_gap,prioritas
Papua,72,0,0.0,15342,3829,9188,24.96,59.89,511,39,125,7.63,24.46,511,201,39.33,16.18,28,26,28,25,4,Prioritas
Kalimantan Utara,12,0,0.0,4104,913,2961,22.25,72.15,84,2,23,2.38,27.38,84,41,48.81,18.38,34,26,34,34,4,Prioritas
Banten,126,5,3.97,153271,21354,99831,13.93,65.13,1607,157,413,9.77,25.7,1607,735,45.74,26.47,9,10,11,9,4,Prioritas
Kalimantan Tengah,30,0,0.0,13721,2439,9170,17.78,66.83,331,45,71,13.6,21.45,331,164,49.55,27.21,29,26,27,28,4,Prioritas
Nusa Tenggara Timur,72,1,1.39,38936,9969,25657,25.6,65.9,750,66,160,8.8,21.33,750,355,47.33,27.94,17,21,23,16,4,Prioritas
Nusa Tenggara Barat,81,3,3.7,64464,9744,40507,15.12,62.84,974,103,205,10.57,21.05,974,507,52.05,32.35,18,13,17,14,4,Prioritas
Sulawesi Barat,27,0,0.0,6412,2035,4311,31.74,67.23,202,3,59,1.49,29.21,202,58,28.71,23.53,33,26,33,33,3,Prioritas
Bangka Belitung,14,0,0.0,4086,2118,2450,51.84,59.96,190,7,53,3.68,27.89,190,82,43.16,34.56,32,26,32,32,3,Prioritas
Kepulauan Riau,41,1,2.44,12560,4012,8068,31.94,64.24,354,17,88,4.8,24.86,354,160,45.2,37.13,27,21,31,29,3,Prioritas
Papua Barat,27,0,0.0,5251,2243,3279,42.72,62.45,243,27,59,11.11,24.28,243,102,41.98,37.5,30,26,30,31,3,Prioritas
Maluku Utara,23,0,0.0,10525,2129,7669,20.23,72.86,285,36,57,12.63,20.0,285,160,56.14,39.71,31,26,29,29,3,Prioritas
Maluku,33,0,0.0,18493,4200,12608,22.71,68.18,418,63,90,15.07,21.53,418,219,52.39,40.44,25,26,24,24,3,Prioritas
Sulawesi Tenggara,53,0,0.0,30830,9204,20938,29.85,67.91,597,83,88,13.9,14.74,597,299,50.08,42.65,20,26,20,20,3,Prioritas
